Job started:  Wed Apr 15 19:38:25 EDT 2026
Node:         rg32303
Array task:   17  (seed=2  scale=1.0  eta=0.1)
Loading model from models/ldm/stable-diffusion-v1/model.ckpt
Global Step: 470000
LatentDiffusion: Running in eps-prediction mode
DiffusionWrapper has 859.52 M params.
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 4, 32, 32) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
Creating invisible watermark encoder (see https://github.com/ShieldMnt/invisible-watermark)...
Subtracting 1 from DDIM time indices to match the dimension.
Data shape for DDIM sampling is (1, 4, 64, 64), eta 0.1
Running DDIM Sampling with 1000 timesteps
Loss:  234.3968505859375
Loss:  281.6452331542969
Loss:  312.0357971191406
Loss:  246.48118591308594
Loss:  253.197265625
Loss:  301.0959167480469
Loss:  242.30055236816406
Loss:  234.7006072998047
Loss:  259.5036315917969
Loss:  283.006591796875
Loss:  268.3412170410156
Loss:  240.52066040039062
Loss:  218.3615264892578
Loss:  218.14024353027344
Loss:  272.51409912109375
Loss:  220.5629119873047
Loss:  200.40481567382812
Loss:  219.95590209960938
Loss:  236.7585906982422
Loss:  208.25111389160156
Loss:  203.94602966308594
Loss:  203.94418334960938
Loss:  204.941162109375
Loss:  208.9300994873047
Loss:  238.14736938476562
Loss:  197.66639709472656
Loss:  202.93760681152344
Loss:  227.6206817626953
Loss:  182.30604553222656
Loss:  171.21458435058594
Loss:  214.9120635986328
Loss:  236.39671325683594
Loss:  203.3270721435547
Loss:  182.30087280273438
Loss:  163.73052978515625
Loss:  183.2281036376953
Loss:  221.59803771972656
Loss:  197.740234375
Loss:  173.3596954345703
Loss:  168.8463897705078
Loss:  187.50405883789062
Loss:  194.9281005859375
Loss:  167.36001586914062
Loss:  180.06060791015625
Loss:  166.84506225585938
Loss:  168.6192169189453
Loss:  174.9789276123047
Loss:  170.0746612548828
Loss:  164.03773498535156
Loss:  163.3859405517578
Loss:  161.97288513183594
Loss:  160.11422729492188
Loss:  159.45265197753906
Loss:  158.9756317138672
Loss:  158.01348876953125
Loss:  152.6011199951172
Loss:  150.5401611328125
Loss:  154.04298400878906
Loss:  153.72140502929688
Loss:  151.62408447265625
Loss:  140.57997131347656
Loss:  139.3302001953125
Loss:  141.4480438232422
Loss:  147.1105194091797
Loss:  131.6443634033203
Loss:  141.5716552734375
Loss:  141.2977752685547
Loss:  132.9228057861328
Loss:  125.35018157958984
Loss:  134.1119842529297
Loss:  125.07164764404297
Loss:  135.68714904785156
Loss:  130.5187225341797
Loss:  118.99054718017578
Loss:  118.71856689453125
Loss:  123.95121002197266
Loss:  119.76280975341797
Loss:  125.61446380615234
Loss:  123.24285888671875
Loss:  116.92278289794922
Loss:  107.70177459716797
Loss:  113.57311248779297
Loss:  115.38765716552734
Loss:  108.50935363769531
Loss:  105.70803833007812
Loss:  111.92656707763672
Loss:  103.5367660522461
Loss:  112.75391387939453
Loss:  101.3135986328125
Loss:  103.1021957397461
Loss:  101.48865509033203
Loss:  106.19282531738281
Loss:  95.60043334960938
Loss:  99.76789093017578
Loss:  94.42676544189453
Loss:  93.23316192626953
Loss:  85.7354736328125
Loss:  91.0682601928711
Loss:  91.98402404785156
Loss:  97.11249542236328
Loss:  85.5419921875
Loss:  86.488037109375
Loss:  86.696533203125
Loss:  92.82150268554688
Loss:  82.33280944824219
Loss:  83.62972259521484
Loss:  79.33673095703125
Loss:  83.7711181640625
Loss:  80.93426513671875
Loss:  82.56169128417969
Loss:  79.94955444335938
Loss:  82.51287841796875
Loss:  78.75086212158203
Loss:  77.55528259277344
Loss:  76.2898941040039
Loss:  78.79235076904297
Loss:  77.75916290283203
Loss:  83.24199676513672
Loss:  74.59642028808594
Loss:  73.63782501220703
Loss:  73.9105224609375
Loss:  74.63362884521484
Loss:  72.79680633544922
Loss:  71.9073715209961
Loss:  70.58409118652344
Loss:  71.29521179199219
Loss:  71.2821044921875
Loss:  70.87666320800781
Loss:  69.8757553100586
Loss:  70.64139556884766
Loss:  69.87789154052734
Loss:  71.67457580566406
Loss:  68.93050384521484
Loss:  69.32769775390625
Loss:  66.8773193359375
Loss:  67.49199676513672
Loss:  68.13314056396484
Loss:  72.82369232177734
Loss:  67.30265808105469
Loss:  66.4978256225586
Loss:  66.2386703491211
Loss:  65.49141693115234
Loss:  65.12891387939453
Loss:  64.2347412109375
Loss:  63.82038116455078
Loss:  63.330596923828125
Loss:  63.18182373046875
Loss:  62.845787048339844
Loss:  62.60905075073242
Loss:  62.13193130493164
Loss:  62.31021499633789
Loss:  61.392723083496094
Loss:  62.291133880615234
Loss:  59.82818603515625
Loss:  59.737369537353516
Loss:  60.57820510864258
Loss:  65.18927001953125
Loss:  61.32337951660156
Loss:  60.336814880371094
Loss:  60.11662292480469
Loss:  60.4583625793457
Loss:  59.882568359375
Loss:  59.94274139404297
Loss:  58.91640853881836
Loss:  59.168792724609375
Loss:  60.65911102294922
Loss:  60.463958740234375
Loss:  62.79582214355469
Loss:  60.08935546875
Loss:  60.28019332885742
Loss:  60.52389907836914
Loss:  61.66148376464844
Loss:  59.75959777832031
Loss:  60.13246154785156
Loss:  59.106239318847656
Loss:  59.67691421508789
Loss:  58.19440841674805
Loss:  58.2989501953125
Loss:  57.91518020629883
Loss:  58.734649658203125
Loss:  56.90413284301758
Loss:  56.83632278442383
Loss:  56.918155670166016
Loss:  57.84169006347656
Loss:  55.98928451538086
Loss:  55.83746337890625
Loss:  56.10435485839844
Loss:  56.59437561035156
Loss:  56.275325775146484
Loss:  57.47528076171875
Loss:  55.074806213378906
Loss:  54.59268569946289
Loss:  54.699459075927734
Loss:  54.769771575927734
Loss:  55.161521911621094
Loss:  55.06124496459961
Loss:  56.18080520629883
Loss:  54.799442291259766
Loss:  54.772945404052734
Loss:  54.59077835083008
Loss:  54.9677619934082
Loss:  53.964012145996094
Loss:  53.896934509277344
Loss:  53.52591323852539
Loss:  53.7088737487793
Loss:  53.2528076171875
Loss:  53.37105178833008
Loss:  52.983978271484375
Loss:  53.11556625366211
Loss:  52.7558479309082
Loss:  52.78342819213867
Loss:  52.5105094909668
Loss:  52.58384323120117
Loss:  52.28675842285156
Loss:  52.46903991699219
Loss:  52.16886901855469
Loss:  52.32794189453125
Loss:  51.96284484863281
Loss:  52.023468017578125
Loss:  51.84405517578125
Loss:  51.96649932861328
Loss:  51.80427551269531
Loss:  51.96068572998047
Loss:  51.66596984863281
Loss:  51.819580078125
Loss:  51.56855773925781
Loss:  51.70873260498047
Loss:  51.43058776855469
Loss:  51.49761199951172
Loss:  51.3786735534668
Loss:  51.401737213134766
Loss:  51.2194938659668
Loss:  51.288177490234375
Loss:  51.11677169799805
Loss:  51.18528747558594
Loss:  50.98808288574219
Loss:  50.999786376953125
Loss:  50.88290023803711
Loss:  50.93941879272461
Loss:  50.76017761230469
Loss:  50.845584869384766
Loss:  50.676292419433594
Loss:  50.732643127441406
Loss:  50.58804702758789
Loss:  50.633121490478516
Loss:  50.424686431884766
Loss:  50.48927307128906
Loss:  50.40399169921875
Loss:  50.4183464050293
Loss:  50.343421936035156
Loss:  50.309120178222656
Loss:  50.239471435546875
Loss:  50.25468444824219
Loss:  50.19768524169922
Loss:  50.13443374633789
Loss:  50.007896423339844
Loss:  50.060264587402344
Loss:  49.971405029296875
Loss:  49.97756576538086
Loss:  49.87312698364258
Loss:  49.87162399291992
Loss:  49.79914093017578
Loss:  49.79906463623047
Loss:  49.69854736328125
Loss:  49.746089935302734
Loss:  49.61526870727539
Loss:  49.64933395385742
Loss:  49.499515533447266
Loss:  49.540653228759766
Loss:  49.488975524902344
Loss:  49.549625396728516
Loss:  49.39961242675781
Loss:  49.4077262878418
Loss:  49.35407257080078
Loss:  49.31547164916992
Loss:  49.272125244140625
Loss:  49.27878952026367
Loss:  49.18634796142578
Loss:  49.169090270996094
Loss:  49.016998291015625
Loss:  49.101585388183594
Loss:  49.037235260009766
Loss:  49.04607391357422
Loss:  48.95323944091797
Loss:  48.903656005859375
Loss:  48.84117889404297
Loss:  48.879364013671875
Loss:  48.751461029052734
Loss:  48.79660415649414
Loss:  48.733299255371094
Loss:  48.798160552978516
